title,artist,album,release_date,genre,likes,lyrics
Supernova,aespa,Armageddon - The 1st Album,2024.05.13,댄스,"총건수
											0","I’m like some kind of SupernovaWatch outLook at me go재미 좀 볼빛의 CoreSo hot hot문이 열려서로의 존재를 느껴마치 Discord날 닮은 너 너 누구야(Drop)사건은 다가와 Ah Oh Ay거세게 커져가 Ah Oh AyThat tick that tick tick bombThat tick that tick tick bomb감히 건드리지 못할 걸(누구도 말이야)지금 내 안에선Su su su SupernovaNovaCan’t stop hyperstellar원초 그걸 찾아Bring the light of a dying star불러낸 내 우주를 봐 봐SupernovaAh Body bangMake it feel too right휩쓸린 에너지 It’s so special잔인한 Queen 이며 Scene 이자 종결이토록 거대한 내 안의 Explosion내 모든 세포 별로부터 만들어져(Under my control Ah)질문은 계속돼 Ah Oh Ay우린 어디서 왔나 Oh Ay느껴 내 안에선Su su su SupernovaNovaCan’t stop hyperstellar원초 그걸 찾아Bring the light of a dying star불러낸 내 우주를 봐 봐Supernova보이지 않는 힘으로네게 손 내밀어 볼까가능한 모든 가능성무한 속의 너를 만나It’s about to bang bangDon’t forget my nameSu su su Supernova사건은 다가와 Ah Oh Ay거세게 커져가 Ah Oh Ay질문은 계속돼 Ah Oh Ay우린 어디서 왔나 Oh Ay사건은 다가와 Ah Oh Ay거세게 커져가 Ah Oh AyTell me, tell me, tell me Oh Ay우린 어디서 왔나 Oh Ay우린 어디서 왔나 Oh AyNovaCan’t stop hyperstellar원초 그걸 찾아Bring the light of a dying star불러낸 내 우주를 봐 봐Supernova사건은 다가와 Ah Oh Ay(Nu star)거세게 커져가 Ah Oh Ay질문은 계속돼 Ah Oh Ay(Nova)우린 어디서 왔나 Oh Ay사건은 다가와 Ah Oh Ay거세게 커져가 Ah Oh Ay질문은 계속돼 Ah Oh Ay(Nova)Bring the light of a dying starSupernova"
How Sweet,NewJeans,How Sweet,2024.05.24,댄스,"총건수
											0","All I know is now알게 됐어 나 (I know)그동안 맨날Always up and down (No more)생각 또 생각Spinnin’ ‘round and ‘roundChanging my mind수상해서 그렇지 이런 헛소리 (No more)How it’s supposed to be그만해 cus it’s clear (It’s simple)It’s like biting an appleToxic loverYou’re no better, 거기 숨지 말고 얼른 나와You little demon in my storylineDon’t knock on my door, I’ll see you outAnd don’t you know how sweet it tastes(How sweet it tastes)Ya don’t you know how sweet it tastes(How sweet it tastes)Ya don’t you know how sweet it tastesNow that I’m without you나 더는 묻지 않을래(How sweet it tastes) 알려주지 않아도 돼(How sweet it tastes) Wow don’t you know how sweet it tastesNow that I’m without you모든 게 typicalSo I’ve been praying so hard for a miracle부르고 있어 나의 이름을더는 안 봐 drama it’s good karma Done scrolling thousand times다 알고 있어 뻔한 수작일 뿐이야완전 쉬운 공식이야 It’s like biting an appleAnd don’t you know how sweet it tastes(How sweet it tastes)Ya don’t you know how sweet it tastes(How sweet it tastes)Ya don’t you know how sweet it tastesNow that I’m without you나 더는 묻지 않을래(How sweet it tastes) 알려주지 않아도 돼(How sweet it tastes) Wow don’t you know how sweet it tastesNow that I’m without youI won’t wait, I’m feelingMy own way, I’m in itCause me and you are diﬀerentSo I won’t stay, I’m leavingI won’t wait, I’m feelingMy own way, I’m in itCause me and you are diﬀerentSo I won’t stay, I’m leavingAnd don’t you know how sweet it tastes(How sweet it tastes)Ya don’t you know how sweet it tastes(How sweet it tastes)Ya don’t you know how sweet it tastesNow that I’m without you나 더는 묻지 않을래(How sweet it tastes) 알려주지 않아도 돼(How sweet it tastes) Wow don’t you know how sweet it tastesNow that I’m without youToxic loverYou’re no better, 거기 숨지 말고 빨리 나와You little demon in my storylineDon’t knock on my door 너 얼른 나가버려Toxic loverYou’re no better, 거기 숨지 말고 얼른 나와You little demon in my storylineDon’t knock on my door, I’ll see you out"
클락션 (Klaxon),(여자)아이들,I SWAY,2024.07.08,댄스,"총건수
											0",좀 미친 소리 같지만 난 네게 반했어(어어우워 어어우워)자꾸 눈으로 욕 하지마 더 네게 빠졌어(어어우워 어어우워)영화보다 멋진 드라마틱 Romantic show나 처음 본 순간 완전 영원한 반쪽인걸또 못 본 척 못 들은 척 넘어가려 하지 어림없어차 떠나가라 소리칠 거야I love you baby야 나 좀 봐줘 Lady더 Hit the 클락션Hon hon hon hon hon honk또 Hit the 클락션Hon hon hon hon hon honkHey hop in sweetie boy우 우아우~ 우 우아우~우 우아우~Honk honk hit the 클락션우 우아우~ 우 우아우~우 우아우~Honk honk hit the 클락션오픈카 타고 드라이브는 어때?Wannabe by Spice Girls 틀고 Okay?야 딱 봐도 그 여자는 불건전해그만 힐끔대고 벨트나 매 옆에Pretty hot stuff hot stuff beautifulBut don’t worry I don’t want a boy toy잠깐 갓길에 멈춰 깜빡이도 안 켜고 덮쳐힙합보다 멋진 발라드틱 Romantic show너 처음 본 순간 완전 딱 천생연분인걸또 못 본 척 못 들은 척 넘어가려 하지 어림없어차 떠나가라 소리칠 거야I love you baby야 나 좀 봐줘 Lady더 Hit the 클락션Hon hon hon hon hon honk또 Hit the 클락션Hon hon hon hon hon honkHey hop in sweetie boyHey I love youI want to do an interviewAh yeah 난 너의완벽한 The true lover Hey I love youI want to do an interviewAh yeah 난 너의완벽한 The true loverI love you baby나 좀 봐줘 LadyHit the 클락션Hon hon hon hon hon honk또 Hit the 클락션Hon hon hon hon hon honkHey hop in sweetie boy우 우아우~ 우 우아우~우 우아우~Honk honk hit the 클락션우 우아우~ 우 우아우~우 우아우~Honk honk hit the 클락션
Sticky,KISS OF LIFE,Sticky,2024.07.01,댄스,"총건수
											0",How long before we fall in loveHow long before we fall in loveHere’s a ticketBaby wanna go out?푸른 Palm tree우릴 부르잖아Don’t be pickyYeah 누벼 이 Town 위를Feel like I’m hot stuffYou’re my rock starHear me now바람은 Sweet and saltyMargarita같이Here on out이 여름 위를 DrivingWon’t you navigate meHow long before we fall in love(널 마주친 순간 I fly high)How long before we fall in love(Let me know let me know)Oh 뛰어들어 둘만의 Ocean dive왠지 묘한 이 느낌 녹아내려Sticky sticky sticky stickyLove got so poppin’ flavor예상 못 한 New taste나른해 Summer fever 내리질 않네So hear me now달콤한 맘이 Drippin’Like gelato meltingHere on out심장에 남긴 Darlin’Won’t you navigate meHow long before we fall in love(널 마주친 순간 I fly high)How long before we fall in love(Let me know let me know)Oh 뛰어들어 둘만의 Ocean dive왠지 묘한 이 느낌 녹아내려Sticky sticky sticky sticky오늘 같은 날이 더 없대도I wanna keep on stayingKnow you’d make me fly away오렌지빛 물든 저 노을에 Kiss itSo say yeahSticky sticky sticky stickyAnd you’re the one who’s with itWith it with it with meYeah 느려져도 돼 Like slomo motionI’d take you to the new world so boy발 닿는 대로 가 There’s no way그리곤 내게로 와 Follow my leadLet’s get it yeahHow long before we fall in love(저 나비처럼 난 Go round round)How long before we fall in love(Let me know let me know)I like it 눈부신 여름빛지금 우린 Sticky sticky sticky sticky
Small girl (feat. 도경수(D.O.)),이영지,16 Fantasy,2024.06.21,랩/힙합,"총건수
											0","If I got a two small cheeksand a bright pink lipsBaby would you‘ve wanted to kiss me?만약 내가 작은 볼과 밝은 핑크색 입술을 가졌으면네가 나한테 키스하고 싶었을까?Maybe a thin ass waist With a Brown long hairBaby, Would you've wanted to hold me?또는 갈색 긴 머리에 얇은 허리를 가졌다면 네가 나를 껴안고 싶었을까?No, you never아니, 전혀No, I’m never gonna get them all나는 그 조건들을 전부 다 가질 수가 없어Yeah,that’s what makes me feel lonely그래 그게 나를 참 외롭게 만들어Oh it’s never글쎄, 전혀It can never ever happen to me나한텐 전혀 일어날 수가 없는 일들이야Cause I’m that girltall girle 나는 키가 큰 여자니까Boy, I got a small girl fantasy나는 작은 여자들에 대한 환상이 있어Baby, would you still love me?자기야, 그래도 날 사랑해 줄래?Though I got a big laugh, big voice& big personality비록 내가 큰 웃음소리, 큰 목소리, 크고 시끄러운 성격을 가졌대도Would you guarantee it?사랑해줄 수 있어?Know you got a small girl fantasy너도 작은 여자들에 대한 환상이 있다는 걸 알아Baby, would you still love me?자기야, 그래도 날 사랑해줄래?Though I got a big laugh, big voice& big personality비록 내가 큰 웃음소리, 큰 목소리, 크고 시끄러운 성격을 가졌대도Would you guarantee ?장담해 줄 수 있어?If I got a-If I got a-Would you guarantee ?장담할 수 있겠어?If I got a-If I got a-Would you guarantee ?장담할 수 있겠어?If I got a-If I got a-If I cared aboutAll Those thing that you careThen I’m not yours만약 내가 네가 신경쓰고 있는 것들전부를 신경쓰고 있었다면 난 네 것이 아니었을거야Yes, you’re wasting all your timeOn some stupid things 맞아, 넌 너무 바보같은 것들에 시간을 낭비하고 있어Baby Im already yours난 이미 네 것이잖아You keep asking me 넌 자꾸 물어봐Do I really suit you?Do I really look good?“내가 너랑 잘 어울리는 거 같아?”“내가 진짜 예뻐 보여?” Girl, I don’t understand you난 당최 이해를 할 수가 없어All you have to do isSmiling at me Like there’s no one to interrupt us넌 그냥 우릴 방해하는 사람이 아무도 없는 것처럼날 향해 환히 웃어주기만 하면 돼‘Cause that’s all I need from you그게 내가 너한테 바라는 전부야Make that fingers v수줍어 하지 말고가까이 더 붙어난 여기있어니가 뭘 원하던지간에난 항상 똑같아다른 조건은 애초에없었어Big eyes, big laughBig voice or big personality큰 눈, 큰 웃음소리큰 목소리나 성격Girl I don’t got no fantasy난 어떤 환상도 없어Theres’s no more other fantasy그리고 그 어떤 환상도 없을거야 If I got a two small cheeksAnd a bright pink lipsBaby would you‘ve wanted to kiss me?만약 내가 작은 볼과 밝은 핑크색 입술을 가졌으면네가 나한테 키스하고 싶었을까?Maybe a thin ass waist With a Brown long hairBaby, Would you've wanted to hold me?또는 갈색 긴 머리에 얇은 허리를 가졌다면 네가 나를 껴안고 싶었을까?No, you never아니, 전혀No, I’m never gonna get them all나는 그 조건들을 전부 다 가질 수가 없어Yeah,that’s what makes me feel lonely그래 그게 나를 참 외롭게 만들어Oh it’s never글쎄, 전혀It can never ever happen to me나한텐 전혀 일어날 수가 없는 일들이야Cause I’m that girltall girle 나는 키가 큰 여자니까Boy, I got a small girl fantasy나 작은 여자들에 대한 환상이 있어Baby, would you still love me?자기야, 그래도 날 사랑해 줄래?Though I got a big laugh, big voice& big personality비록 내가 큰 웃음소리, 큰 목소리, 크고 시끄러운 성격을 가졌대도Would you guarantee ?사랑해줄 수 있어?Know you got a small girl fantasy너도 작은 여자들에 대한 환상이 있다는 걸 알아Baby, would you still love me?자기야, 그래도 날 사랑해줄래?Though I got a big laugh, big voice& big personality비록 내가 큰 웃음소리, 큰 목소리, 크고 시끄러운 성격을 가졌대도Would you guarantee ?사랑해줄 수 있어?If I got a-If I got a-Would you guarantee ?장담할 수 있겠어?If I got a-If I got a-Would you guarantee ?장담할 수 있겠어?If I got a-If I got a-"
Supernatural,NewJeans,Supernatural,2024.06.21,J-POP,"총건수
											0",Stormy nightCloudy skyIn a moment you and IOne more chance너와 나 다시 한번 만나게서로에게 향하게My feeling’s getting deeper내 심박수를 믿어우리 인연은 깊어I gotta see the meaning of itI don’t know what we’ve done되돌아가긴 싫어もう知っているDon’t know what we’ve been sold見つけられるよSo it’s sureGolden moonDiamond starsIn a moment you and ISecond chanceしょうがないもう少し待って너와 내게 향하게My feeling’s getting deeper내 심박수를 믿어우리 인연은 깊어I gotta see the meaning of itI don’t know what we’ve done되돌아가긴 싫어もう知っているDon’t know what we’ve been sold見つけられるよSo it’s sureIt’s supernaturalIt’s supernatural거짓말 안 할래너도 말해Attention we should payTo what is coming throughWe had no ideaIt’s crystal clearLove is hereSitting next to you私とあなたGolden moonDiamond starsIn a moment we unite
소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,2024.04.08,"발라드, 국내드라마","총건수
											0",그치지 않기를 바랬죠처음 그대 내게로 오던 그날에잠시 동안 적시는그런 비가 아니길간절히 난 바래왔었죠그대도 내 맘 아나요매일 그대만 그려왔던 나를오늘도 내 맘에 스며들죠그대는 선물입니다 하늘이 내려준 홀로 선 세상 속에그댈 지켜줄게요어느 날 문득  소나기처럼 내린 그대지만 오늘도 불러 봅니다 내겐 소중한 사람Oh 떨어지는 빗물이어느새 날 깨우고그대 생각에 잠겨요이제는 내게로 와요언제나처럼 기다리고 있죠그대 손을 꼭 잡아줄게요그대는 선물입니다 하늘이 내려준 홀로 선 세상 속에그댈 지켜줄게요어느 날 문득  소나기처럼 내린 그대지만 오늘도 불러 봅니다 내겐 소중한 사람잊고 싶던 아픈 기억들도빗방울과 함께 흘려보내면 돼요때로는 지쳐도하늘이 흐려도내가 있다는 걸 잊지 말아요그대는 사랑입니다 하나뿐인 사랑 다시는 그대와 같은 사랑 없을 테니잊지 않아요내게 주었던작은 기억 하나도오늘도 새겨봅니다 내겐 선물인 그댈
고민중독,QWER,1st Mini Album 'MANITO',2024.04.01,록/메탈,"총건수
											0","One! Two! Q! W! E! R! 어떤 인사가 괜찮을까 천 번쯤 상상해 봤어근데 오늘도 천 번 하고 한 번 더 고민 중막상 네 앞에 서니 꽁꽁 얼어버렸다숨겨왔던 나의 맘 절반의 반도 주지를 못했어아, 아, 아직은준비가 안됐다구요소용돌이쳐 어지럽다구쏟아지는 맘을 멈출 수가 없을까?너의 작은 인사 한마디에 요란해져서네 맘의 비밀번호 눌러 열고 싶지만너를 고민고민해도 좋은 걸 어쩌니거울 앞에서 새벽까지 연습한 인사가손을 들고 웃는 얼굴을 하고서 고개를 숙였다아, 아, 아직도 준비가 안됐나 봐요소용돌이쳐 어지럽다구쏟아지는 맘을 멈출 수가 없을까?너의 작은 인사 한마디에 요란해져서네 맘의 비밀번호 눌러 열고 싶지만너를 고민고민해도 좋은 걸이러지도 저러지도 못하는데속이 왈칵 뒤집히고이쯤 왔으면 눈치 챙겨야지날 봐달라구요!좋아한다 너를 좋아한다 좋아해너를 많이 많이 좋아한단 말이야벅차오르다 못해 내 맘이 쿡쿡 아려와두 번은 말 못 해 너 지금 잘 들어봐매일 고민하고 연습했던 말좋아해"
한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,2019.07.15,록/메탈,"총건수
											0",솔직히 말할게많이 기다려 왔어너도 그랬을 거라 믿어오늘이 오길매일같이 달력을 보면서솔직히 나에게도지금 이 순간은꿈만 같아 너와 함께라오늘을 위해꽤 많은 걸 준비해 봤어All about you and I다른 건 다 제쳐 두고Now come with meTake my hand아름다운 청춘의 한 장함께 써내려 가자너와의 추억들로가득 채울래Come on아무 걱정도 하지는 마나에게 다 맡겨 봐지금 이 순간이다시 넘겨볼 수 있는한 페이지가 될 수 있게This is our pageOur page솔직히 말할게지금이 오기까지마냥 순탄하진 않았지오늘이 오길나도 목 빠져라 기다렸어솔직히 나보다도네가 몇 배는 더힘들었을 거라고 믿어오늘을 위해그저 견뎌줘서 고마워All about you and I다른 건 다 제쳐 두고Now come with meTake my hand아름다운 청춘의 한 장함께 써내려 가자너와의 추억들로가득 채울래Come on아무 걱정도 하지는 마나에게 다 맡겨 봐지금 이 순간이다시 넘겨볼 수 있는한 페이지가 될 수 있게Want you toCome on out and have funWant us toHave the time of our lifeOh너와의 추억들로가득 채울래Come on아무 걱정도 하지는 마나에게 다 맡겨 봐지금 이 순간이다시 넘겨볼 수 있는한 페이지가 될 수 있게This is our pageOur page
Bubble Gum,NewJeans,How Sweet,2024.05.24,댄스,"총건수
											0","You just got my heart pump pumpin’ Every time that you’re here around me 노랫 소리가 또 흘러나와 yeah오늘 오래 걸린 이유I’m always so excited to meet you 내 향기가 널 먼저 찾아가눈 감아도 기억나게어디라도 따라갈래You’re so delicate 거품 속에숨었네 uh uh uhOh you make my heart melt away You’re a softie 구름 같아 이건 말로 설명 못해You got me oh oh이미 우린저기 멀리높이 있는 풍선같이Have you right hereIn a basketOh my babySweet like bubble gum Bouncing like playing ball더 높이 올려줘We’re gonna ﬂy awaySweet like bubble yumSo smooth, soft like a hug더 멀리 날려줘Let’s go far awayYou’re my favorite flavor Bubble gum Bubble Bubble Bubble Bubble Bubble BubbleBubble Bubble Bubble Gum얘기 늘어놓아 줄줄Like I got nothing better to do 내 손바닥 안에 쏙 들어와 yeah나만 알고 싶은 비밀All I know is I need this feeling 내 윤기가 널 먼저 사로잡아 yeah눈 감아도 기억나게어디라도 따라갈래You’re so delicate 거품 속에숨었네 uh uh uhOh you make my heart melt away You’re a softie 구름 같아 이건 말로 설명 못해You got me oh ohSweet like bubble gum Bouncing like playing ball더 높이 올려줘We’re gonna ﬂy awaySweet like bubble yumSo smooth, soft like a hug더 멀리 날려줘Let’s go far away눈 감아도 기억나게어디라도 따라갈래You’re so delicate 거품 속에숨었네 uh uh uhOh you make my heart melt away You’re a softie 구름 같아이건 말로 설명 못해You got me oh oh이미 우린 저기 멀리 높이 있는 풍선같이Have you right hereIn a basketOh my babySweet like bubble gum이미 우린 저기 멀리 높이 있는 풍선같이Have you right hereIn a basketOh my babySweet like bubble gum"
나는 아픈 건 딱 질색이니까,(여자)아이들,2,2024.01.29,댄스,"총건수
											0",오늘도 아침엔 입에 빵을 물고똑같이 하루를 시작하고온종일 한 손엔 아이스 아메리카노피곤해 죽겠네지하철 속 이 장면 어제 꿈에서 봤나아참 매일이지 지나치고바쁜 이 삶에 그냥 흔한 날에그 애를 보고 말야평온했던 하늘이 무너지고어둡던 눈앞이 붉어지며뭔가 잊고 온 게 있는 것 같아괜히 이상하게 막 울 것만 같고그냥 지나치는 게 나을 것 같아나는 생각은 딱 질색이니까카페인으로 잡은 정신은 빠졌고하루 종일 신경 쓰여 토할 것 같아저녁이 돼도 배고픔까지 까먹고그치 이상하지 근데 말야 있잖아처음 본 순간 뭐라 할까 그립달까나도 웃긴데 말야평온했던 하늘이 무너지고어둡던 눈앞이 붉어지며뭔가 잊고 온 게 있는 것 같아괜히 이상하게 막 울 것만 같고그냥 지나치는 게 나을 것 같아나는 생각은 딱 질색이니까오랫동안 나를 아는슬픈 표정을 하고 Oh흔적 없는 기억 밖혹 과거에 미래에 딴 차원에 세계에1 2 3 4 5 6 7 8평온했던 하늘이 무너지고어둡던 눈앞이 붉어져도다시 놓쳐버리는 것만 같아괜히 이상하게 막 울 것만 같고그냥 지나치는 게 나을 것 같아나는 생각은 딱 질색이니까아냐 지나치는 게 나을 것 같아나는 아픈 건 딱 질색이니까
Armageddon,aespa,Armageddon - The 1st Album,2024.05.27,댄스,"총건수
											0","ArmageddonShootImma get ’emShootWatch UhImma bite back Uh짙은 어둠이막아설 땐 Uh한 걸음 앞으로날아든 It’s bad사라진 Feedback시작된 Code black Uh깊어가혼란스러운 밤악몽은 또 짙게 번져가뭔갈 숨기려고 해I got it, I got it혼돈을 타고덮쳐 Killing likeBang chitty bangBang chitty bang bang’Cause I wanna seeI wanna see trulyBang chitty bangBang chitty bang bang내게 다가와 다가와Imma get itDone(Aw wayo wayo)널 향해 겨눠 Get it, gone(Aw wayo wayo)이젠 널 끝내 Better run(끝을 모르는 너와 나 You gonna, gonna)깨트려 거침없이 Done(Go way up, way up)Full shot pull it up ArmageddonImma get ’emShootImma get ’emHey Ya또 다른 나우릴 막지 마We never play niceShoot완벽한 Pair넌 똑같은 SoulThree to get ready우린 Shoot and go겁 없이 누벼날 이끄는 WayBang chitty bangBang chitty bang bangYes I’m gonna seeI’m gonna see, want itBang chitty bangBang chitty bang bang답이 들려와 들려와Imma get itDone(Aw wayo wayo)널 향해 겨눠 Get it, gone(Aw wayo wayo)이젠 널 끝내 Better run(끝을 모르는 너와 나 You gonna, gonna)깨트려 거침없이 Done(Go way up, way up)Full shot pull it up ArmageddonImma get ’em또 어둠을 몰아내고시작을 꽃피운 너와 나의 Story더 완벽해진 우리(Armageddon)정의해 이젠나만의 Complete내 모든 걸 이끌어Do it all myself완전한 나를 이뤄내(Drop)Throw it back,throw it back,throw it backBorn like a queenBorn like a king YaThrow it back,throw it back,throw it back불러Imma get ’emDone(Aw wayo wayo)널 향해 겨눠 Get it, gone(Aw wayo wayo)이젠 널 끝내 Better run(끝을 모르는 너와 나You gonna, gonna)깨트려 거침없이 Done(Go way up, way up)Full shot pull it up ArmageddonArmageddon(Aw wayo wayo wayoWarning all night long)Armageddon(Aw wayo wayo)끝과 시작의Armageddon"
