title,artist,album,release_date,genre,likes,lyrics
해야 (HEYA),IVE (아이브),IVE SWITCH,2024.04.29,댄스,"총건수
											0","Let’s get itLook at itPay attention얼어붙은 맘 어디 깨볼까? 놀라버렸던 네 심장 말이야 맘에 들었어 넌 그냥 Say yes 내가 널 부르면 “얼음 땡” (Da da da dun dun) 널 노리는 내 두 눈숨을 죽인 그다음한 발 낮춘 attitude때를 기다리는 pose 어둠 속 빛난 tiger eyes날 감춘 채로 다가가새빨간 말로 홀려 놔방심한 순간 claw 우린 더 높이하늘에 닿을 것처럼 외쳐 너를 깨워올려 봐 노려봐 넌 내 거니까 다자꾸 널 보면 탐이 탐이 나해야 해야 해야한입에 널 삼킬 때야(탐이 탐이 나)해야 해야 해야이미 내가 이긴 패야(널 보면 탐이 탐이 나)해야 해야 해야뜨겁게 떠오르는 해야별안간 홀린 그 순간 Bite단 한 번에 난 널 휘리휘리 Catch ya 더 높이 Keep it upUh huhHappily ever after? Nope!(Da da da dun dun)못 기다린대 못 돼버린 내 맘이겁 따윈 없는 척하지 마 너 감히멀어져 넌 가니어차피 한 입 거리 (Hey)옳지 착하지 더 이리이리 오렴 네 맘 나 주면 안 잡아먹지 Right now내 발톱 아래 뭘 숨겼을지 Watch out우린 더 높이하늘에 닿을 것처럼 외쳐 너를 깨워올려 봐 노려봐 넌 내 거니까 다자꾸 널 보면 탐이 탐이 나해야 해야 해야한입에 널 삼킬 때야(탐이 탐이 나)해야 해야 해야이미 내가 이긴 패야(널 보면 탐이 탐이 나)해야 해야 해야뜨겁게 떠오르는 해야별안간 홀린 그 순간 Bite단 한 번에 난 널 휘리휘리 Catch ya 휘리휘리 휘리휘리 휘리휘리 휘리휘리더 붉게 더 밝게타올라 뜨거워도 좋으니더 높게 더 높게숨어도 넌 내 손바닥 안이니깊은 어둠이 짙은 구름이또 긴 밤 아래 널 감출 테니Chew and swallow Get ready for it, baby(Listen when I say)자꾸 널 보면 탐이 탐이 나해야 해야 해야한입에 널 삼킬 때야(탐이 탐이 나)해야 해야 해야이미 내가 이긴 패야(널 보면 탐이 탐이 나)해야 해야 해야뜨겁게 떠오르는 해야별안간 홀린 그 순간 BiteDa da da dun dun dun"
Magnetic,아일릿(ILLIT),SUPER REAL ME,2024.03.25,댄스,"총건수
											0",BabyI’m just trying to play it coolBut I just can’t hide thatI want youWait a minute 이게 뭐지?내 심장이 lub-dub자꾸만 뛰어저 멀리서도 oh my gosh!끌어당겨 you’re my crush!초능력처럼거대한 자석이 된 것만 같아 my heart네 모든 게 내 맘에 달라붙어버려 boyWe’re magnetized 인정할게This time I wantYou You You You like it’s magneticU U U U U U U U super 이끌림You You You You like it’s magneticU U U U U U U U super 이끌림BAE BAE BAE BAE BAE BAE BAE BAE BAE Dash-da-da Dash-da-da Dash-da Like it’s magneticBAE BAE BAE BAE BAE BAE BAE BAE BAE Dash-da-da Dash-da-daBaby don’t say no정반대 같아 our type 넌 J 난 완전 P S와 N 극이지만 그래서 끌리지 내가 만들래 green light여잔 배짱이지 So let’s go let’s goLet’s go let’s go 숨기고 싶지 않아 자석 같은 my heart 내 맘의 끌림대로 너를 향해 갈게 boy We’re magnetized 인정할게This time I wantYou You You You like it’s magneticU U U U U U U U super 이끌림You You You You like it’s magneticU U U U U U U U super 이끌림No push and pull  전속력으로 너에게 갈게(In a rush in a rush) Our chemistry  난 과몰입해 지금 순간에(Baby you’re my crush you’re my crush)No push and pull 네게 집중 후회는 안 할래  (Gonna dash gonna dash)Never holding back직진해 yeah  This time I wantYou You You You like it’s magnetic U U U U U U U U super 이끌림You You You You like it’s magneticU U U U U U U U super 이끌림BAE BAE BAE BAE BAE BAE BAE BAE BAE Dash-da-da Dash-da-da Dash-da Like it’s magneticBAE BAE BAE BAE BAE BAE BAE BAE BAE Dash-da-da Dash-da-daBaby don’t say no
첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,2024.01.22,댄스,"총건수
											0","Ay ay ay ay ay거울 속에 내 표정 봐 봐느낌 So good 기다려온 D-day연습했던 손든 인사도 그대로 하면 돼Hairstyle check하고 한 번 Turn around발걸음은 매일 걷던 그 길로계획은 완벽빨리 말 걸어보고 싶어, HeyWoo 문 앞에서 셋을 세어본다, Yeh(셋, 둘, 하나)첫 만남은 너무 어려워계획대로 되는 게 없어서첫 만남은 너무 어려워내 이름은 말야Hey,안녕, 첫 마디를 건넬 때주변 소린 Canceled네 말소리는 PlaylistYeh,질문은 나의 용기, 알려줘 너의“이름이 뭐야?”너와 내 거리는 세 걸음 남았어, Yeh(셋, 둘, 하나)첫 만남은 너무 어려워계획대로 되는 게 없어서첫 만남은 너무 어려워내 이름은 말야이 순간, Feels so wonderful조금은 뚝딱거려도어색한 인사까지도너와 나의 첫 만남우리의 사이 Beautiful내일도 내일모레도기억해, 영원히 반짝일 순간Wait wait!Na na na-이렇게 만나서 반가워내일 또 봐 안녕"
Welcome to the Show,DAY6 (데이식스),Fourever,2024.03.18,록/메탈,"총건수
											0",이젠 혼자가 아닐 무대너무나 감격스러워끝없는 가능성 중에날 골라줘서 고마워나와 맞이하는 미래가위태로울지도 몰라하지만 눈물 가득한감동이 있을지도 몰라그래도내 손놓지 않겠다면If soThen let's go Welcome to the showOh이것만큼은 맹세할게내 전부를 다 바칠게네 눈빛 흔들리지 않게널 바라보며 서 있을게알아 너의 결정이 쉽지 않았을 거야후회 없게 하는 건 이제 나의 몫이야끝까지같이함께 가겠다면If soThen let's goWelcome to the showOh이것만큼은 맹세할게내 전부를 다 바칠게네 눈빛 흔들리지 않게널 바라보며 서 있을게막이 내릴 그날에도그때도 네 손 꼭 잡은 채너라서 행복했다고서로가 말할 수 있도록 이것만큼은 맹세할게내 전부를 다 바칠게네 눈빛 흔들리지 않게널 바라보며 서 있을게OhOh
SPOT! (feat. JENNIE),지코 (ZICO),SPOT!,2024.04.26,랩/힙합,"총건수
											0","Everything ok my manTurn the music upUhm we’re not going home tonight, alright네 계획에 없던 partyUp and down round and roundHit the spot spot spot spot엎치락뒤치락 정신을 왜 차려 왜Hey girl where you at데리러 갈게 send me the addressNo dress code 대충 걸치면 돼우린 꾸밈없고, 나머진 억텐 yeah농익은 분위기 it’s too sticky마구 부대껴 어머! 정전기 찌릿여긴 내 동생 저기는 내 homie순둥이지만 음악 틀면 눈 돌지Chillin’ out, we yellin’ out, one more찐친 바이브 위아래 안 따져부끄런 I 피식 E를 드러내포위됐어 넌 now hands in the airUhm we’re not going home tonight, alright네 계획에 없던 partyUp and down round and roundHit the spot spot spot spot엎치락뒤치락 정신을 왜 차려 왜Up and down round and roundEverybody hit the spotUp and down round and roundEverybody hit the topUp and down round and roundEverybody make it loud (Make it loud)Up and down round and roundAin’t nobody hold us down어깨 툭툭 he say “Yo JENNIE,Told you that 도망치면 배신”Yeah, I know I know일단 더우니까 바람 쐬러 나가Bae 나갈 때 뒤로 딱 붙어땀 뺐으니까 후딱 아이스크림 go들키면 피곤해져 put your mask on한바퀴 돌고 퀵하게 조인해우리 프로젝트 타이틀 명은 J ZWe gon’ run this town, that’s crazy짱박아 놨던 네 똘끼를 꺼내해방됐어 넌 now hands in the airUhm we’re not going home tonight, alright네 계획에 없던 partyUp and down round and roundHit the spot spot spot spot엎치락뒤치락 정신을 왜 차려 왜Up and down round and roundEverybody hit the spotUp and down round and roundEverybody hit the topUp and down round and roundEverybody make it loudUp and down round and roundEverybody StopWait a minute ahhhCome vibe with usRide with us"
예뻤어,DAY6 (데이식스),Every DAY6 February,2017.02.06,록/메탈,"총건수
											0",지금 이 말이우리가 다시시작하자는 건 아냐그저 너의남아있던 기억들이떠올랐을 뿐이야정말 하루도 빠짐없이 너는사랑한다 말해줬었지잠들기 전에 또 눈 뜨자마자 말해주던 너생각이 나 말해보는 거야예뻤어날 바라봐 주던 그 눈빛날 불러주던 그 목소리다 다그 모든 게 내겐예뻤어더 바랄게 없는듯한 느낌오직 너만이 주던 순간들다 다지났지만넌 너무 예뻤어너도 이제는나와의 기억이추억이 되었을 거야너에게는어떤 말을 해도 다지나간 일일 거야정말 한번도 빠짐없이 너는나를 먼저 생각해줬어 아무 일 아니어도 미안해 고마워 해주던 너생각이 나 말해보는 거야예뻤어날 바라봐 주던 그 눈빛날 불러주던 그 목소리다 다그 모든 게 내겐예뻤어더 바랄게 없는듯한 느낌오직 너만이 주던 순간들다 다지났지만넌 너무 예뻤어아직도 가끔 네 생각이 나어렵게 전화를 걸어볼까생각이 들 때도 많지만Baby I know it's already over아무리 원해도 너는 이제이미 끝나버린 지난날의한편의 영화였었단 걸난 알아마지막날 바라봐 주던 그 눈빛잘 지내라던 그 목소리다 다그마저도 내겐예뻤어내게 보여준 눈물까지너와 가졌던 순간들은다 다지났지만넌 너무 예뻤어
사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,2021.10.11,"발라드, 국내드라마","총건수
											0",눈물이 난다 이 길을 걸으면그 사람 손길이 자꾸 생각이 난다붙잡지 못하고 가슴만 떨었지내 아름답던 사람아사랑이란 게 참 쓰린 거더라잡으려 할수록 더 멀어지더라이별이란 게 참 쉬운 거더라내 잊지 못할 사람아사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데바람이 분다 옷깃을 세워도차가운 이별의 눈물이 차올라잊지 못해서 가슴에 사무친내 소중했던 사람아사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데기다림도 애태움도 다 버려야 하는데무얼 찾아 이 길을 서성일까무얼 찾아 여기 있나사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데잠시 쉬어가면 좋을 텐데
천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),2024.02.21,발라드,"총건수
											0",아니길 바랬었어꿈이길 기도했지너 없는 가슴으로 살아가야 하는 건내게는 너무 힘겨운걸그렇게 사랑했던너무도 소중했던지난날이 서러워 자꾸 눈물이 흘러내 삶은 너뿐인데사랑해 널 잊을 순 없을 거야미안해 너를 지키지 못한 것을너의 행복한 모습 나 보기를 원해부디 새롭게 시작하길 바래하늘이 우리를 갈라 놓지만눈물로 너를 보내려고 하지만너를 얼마나 내가 사랑했는 줄 아니영원히 너를 지켜보며 살 거야행복하길 바래그렇게 사랑했던너무도 소중했던지난날이 서러워 자꾸 눈물이 흘러내 삶은 너뿐인데사랑해 널 잊을 순 없을 거야미안해 너를 지키지 못한 것을너의 행복한 모습 나 보기를 원해부디 새롭게 시작하길 바래하늘이 우리를 갈라 놓지만눈물로 너를 보내려고 하지만너를 얼마나 내가 사랑했는 줄 아니영원히 너를 지켜보며 살 거야행복하길 바래널 사랑해미안해 너를 지키지 못한 것을너의 행복한 모습 나 보기를 원해부디 새롭게 시작하길 바래행복하길 바래
온기,임영웅,온기,2024.05.06,발라드,"총건수
											0","아무도 모를 거야 말한 적 없을 테니아이처럼 울고 싶은 순간들어른이란 말은 참 그댈 힘들게 하죠더 외롭게 만들어힘겨운 걸음으로 먼 길을 걸었는데가고 싶은 곳은 어디였는지어둡고 깊은 곳에 웅크려 앉은 그댈난 떠나지 않겠어요아무리 먼 길을 떠났어도아무리 긴 시간이 흘러도이 길 끝에 떠오르는 태양을 만날 때까지난 곁에 있겠어요힘겨운 걸음으로 먼 길을 걸었는데가고 싶은 곳은 어디였는지세상이 지독하게 그댈 혼자 둘 때엔단 하나만 기억해요아무리 먼 길을 떠났어도아무리 긴 시간이 흘러도이 길 끝에 떠오르는 태양을 만날 때까지난 곁에 있어요(I will be with you) 혼자인 것 같아(I can be your only one) 그 어둠 속에 단 한 번의 용기, 단 한 사람의 온기(Wanna be Warm) 그 작은 시작이 돼 줄 수 있어(in your life)                    또다시 먼 길을 떠나도한 번 더 긴 시간이 가도이 길 끝에 떠오르는 태양을 만날 때까지난 곁에 있겠어요나 곁에 있어요"
Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',2022.08.01,댄스,"총건수
											0","(1,2,3,4)Baby, got me looking so crazy빠져버리는 daydreamGot me feeling you너도 말해줄래누가 내게 뭐라든남들과는 달라 넌Maybe you could be the one날 믿어봐 한번I’m not looking for just funMaybe I could be the oneOh baby예민하대 나 lately너 없이는 매일 매일이 yeah재미없어 어쩌지I just want youCall my phone right nowI just wanna hear you’re mine‘Cause I know what you like boyYou’re my chemical hype boy내 지난날들은눈 뜨면 잊는 꿈Hype boy 너만 원해Hype boy 내가 전해And we can go high말해봐 yeah느껴봐 mm mmTake him to the skyYou know I hype you boy눈을 감아말해봐 yeah느껴봐 mm mmTake him to the skyYou know I hype you boy잠에 들려고 잠에 들려 해도네 생각에 또 새벽 세 시 uh-oh알려줄 거야 they can’t have you no more봐봐 여기 내 이름 써있다고누가 내게 뭐라든남들과는 달라 넌Maybe you could be the one날 믿어봐 한번I’m not looking for just funMaybe I could be the oneOh baby예민하대 나 lately너 없이는 매일 매일이 yeah재미없어 어쩌지I just want youCall my phone right nowI just wanna hear you’re mine‘Cause I know what you like boyYou’re my chemical hype boy내 지난날들은눈 뜨면 잊는 꿈Hype boy 너만 원해Hype boy 내가 전해And we can go high말해봐 yeah느껴봐 mm mmTake him to the skyYou know I hype you boy눈을 감아말해봐 yeah느껴봐 mm mmTake him to the skyYou know I hype you boy"
에피소드,이무진,에피소드,2023.12.13,록/메탈,"총건수
											0",나는 말야버릇이 하나있어 그건 매일 잠에 들 시간마다잘 모아둔 기억 조각들 중잡히는 걸 집은 후혼자 조용히 꼬꼬무이걸 난궁상이란이름으로 지었어 고민 고민하다가아무튼 뭐 오늘은 하필이면너가 스쳐버려서우리였을 때로우리 정말 좋았던 그때로우리의 에피소드가찬란하게 막을 연다배경은 너의 집 앞첫 데이트가 끝난둘만의 에피소드가참 예쁜 얘기로 시작자작자작 조심스런 대화그새 늦은 시간굿바이좋은 뜻일 뿐인 굿바이With a happy smile이게 이 스토리의 서막눈 내리던 그 밤겨울 향이 배어서더 눈부신우리의 에피소드다매일이 마지막인 듯이함께라면 어디든지사랑이란 걸 끝도 없이주고받고 나눴어 그치?서로만 있음 마음이시릴 날이 없던 우리넌 오아시스 내겐 마치근데 있잖아별 소용없다?생각만 해도 행복한 순간들은 말야모른 척해도 결국엔 이건끝을 봤던 에피소드점점 점점 점점우리의 에피소드가결말에 가까워져가곧 새드 엔딩이다크레딧엔 너와 나둘만의 에피소드가참 쓸쓸한 끝을 맞아두 주인공의 서글픈 마지막결국 건넨 인사굿바이너무 아픈 이별의 굿바이눈물이 뺨을 스쳐도착한 입가엔 미소애써 웃고 있어우린 서로를 보며첨 같던 미소로 안녕웃으며 안녕눈 뜨면 에필로그다침대에 기대어 혼자펑펑 울고 있는 나이 궁상 밖의 난둘만의 에피소드완전혀 다른 모습 난 그날돌아서지 말았어야 했다널 안았어야 했다그 밤눈꽃이 널 덮은 그 밤의향을 잊음과함께 잃었던 따스함춥게 눈을 뜬다겨울밤이 되어서맞이한 향이우리의 에피소드다
Boom Boom Bass,RIIZE,RIIZING - The 1st Mini Album,2024.06.17,댄스,"총건수
											0",My baby like to string me on좀 더 내게 다가와네게 맞춰 온 My bass살짝 너의 맘을 Slide그냥 놓치긴 아쉬워 난넌 어떻게 생각해자 Follow me now이 리듬이 다시 Make me spinWe makin’ musicEvery day we play가볍게 Groovin’느낀 대로 해Don’t stop the musicHands up on my bass지금부터 Lower lower lowerWe want thatBoom ba doomboom boom bassThat boom ba doomboom boom bassWe got thatboom ba doom on my bass우린 좀 더 Lower lower lowerWe want that박자에 맞춰Up down 줄을 감싸밀고 당겨Doom slap let’s countdown음은 자꾸만 Flat괜찮아 뭐 어때우리 사이Keep going make a bassline너도 왠지 템포가 빨라따라와 둘만의 TimelineHands in the sky yeahyou know what I likeWe makin’ musicEvery day we play가볍게 Groovin’느낀 대로 해Don’t stop the musicHands up on my bass지금부터 Lower lower lowerWe want thatBoom ba doomboom boom bassThat boom ba doomboom boom bassWe got thatboom ba doom on my bass우린 좀 더 Lower lower lowerWe want thatWe makin’ musicEvery day we play가볍게 Groovin’느낀 대로 해Don’t stop the musicHands up on my bass지금부터 Lower lower lowerWe want thatAye alright나의 손을 잡고 떠올라Aye alright너와 내가 자꾸 떠올라Aye alright우린 계속 같이 떠올라지금부터 Lower lower lowerWe want thatBoom ba doomboom boom bass
우리들의 블루스,임영웅,IM HERO,2022.05.02,발라드,"총건수
											0",잊지는 말아요 함께 했던 날들눈물이 날 때면그대 뒤를 돌아보면 돼요아프지 말아요 쓸쓸한 마음에힘든 일이 참 많았죠 그대에겐내가 곁에 있을게요그댈 위해 노래할게요잊지 말아요그댈 위해 약속할게요언젠가 우리 시간 지나면알게 되겠죠그땐 웃을 수 있죠 나 약속할게요그땐 미소 짓겠죠작은 행복까지 모두외롭고 지칠 때 손잡아 줄게요슬픔이 짙어질 때면 위로해 줄그 한 사람이 될게요그대 부디 울지 말아요슬퍼 말아요그대에게 빛이 될게요언젠가 우리 시간 지나면알게 되겠죠그땐 웃을 수 있죠 나 약속할게요폭풍 속에 혼자 남아 헤매도 오길이 되어 지킬게요 그대그댈 위해 노래할게요잊지 말아요그댈 위해 약속할게요어두운 길을 밝게 비추는그대의 빛이 될게요
미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4,2024.03.24,"발라드, 국내드라마","총건수
											0",It's the same day이렇게 너를다시 불러보는 잊고 있던 마음들과이제야 내미는나의 미련한 진심들늦어서 미안해I wish I could  have told you thatI was born to love youTo love you with all my heart널 향한 심장이 멈춰지지가 않아Still want you all the time아직 내 마음속 한켠의 방에그리움으로 가득 채워너를 기다려Need you all the time아무 말도 전하지 못해시간속을 헤메이는나를 미워해It’s the same night흐릿한 어느 밤 안개 속에 너를불러보곤 해 난 또시간 저편에 빛나던기억을 떠올려두 손 꼭 잡았던I wish I could have told you thatI was made to love youTo love you with all my heart망설이다 혼자 삼켰던 말 사랑해Still want you all the time아직 내 마음속 한켠의 방에그리움으로 가득 채워너를 기다려Need you all the time미친 듯이 네게 달려가두 팔 가득 너를 품고And I want you to know you’re the only reason that I still breathe that I still liveAnd to tell you사랑했던 나의 진심이사랑받던 모든 기억이 내 모든 이유 유일한 이유Hmmm
Home,임영웅,온기,2024.05.06,댄스,"총건수
											0",쓸쓸한 거리에외로움이 더 쌓이고사람도 이 밤도사랑 찾아 헤매이네그대 마음이 허전하다면밤 하늘의 별을 보며 날 떠올려요난 곁에 있어그댄 나의 친구야비 오는 날 우산이 되어줘해가 뜨는 날에는 널 지켜줄게When I Go! Shining StarAnd I Go! Don't stop baby평생 너와 함께 하리라 쓸쓸한 거리에외로움이 더 쌓이고사람도 이 밤도사랑 찾아 헤매이네그대 마음이 지쳐있다면단 하루도 울지 말고 날 떠올려요난 곁에 있어그댄 나의 친구야비 오는 날 우산이 되어줘해가 뜨는 날에는 널 지켜줄게When I Go! Shining StarAnd I Go! Don't stop baby평생 너와 함께 하리라When you feel so aloneRemember that I’m with you너와 함께라면 어디든 내가 갈게어디든 다 갈게그댄 나의 친구야비 오는 날 우산이 되어줘해가 뜨는 날에는 널 지켜줄게When I Go! Shining starAnd I Go! Don't stop baby평생 너와 함께 하리라
모래 알갱이,임영웅,모래 알갱이,2023.06.05,발라드,"총건수
											0",나는 작은 바람에도 흩어질 나는 가벼운 모래 알갱이 그대 이 모래에 작은 발걸음을 내어요 깊게 패이지 않을 만큼 가볍게 나는 작은 바람에도 흩어질 나는 가벼운 모래 알갱이 그대 이 모래에 작은 발자국을 내어요 깊게 패이지 않을 만큼 가볍게 그대 바람이 불거든 그 바람에 실려 홀연히 따라 걸어가요 그대 파도가 치거든 저 파도에 홀연히 흘러가리 그래요 그대여 내 맘에 언제라도 그런 발자국을 내어줘요 그렇게 편한 숨을 쉬듯이 언제든 내 곁에 쉬어가요 그대 바람이 불거든 그 바람에 실려 홀연히 따라 걸어가요 그대 파도가 치거든 저 파도에 홀연히 흘러가리 그래요 그대여 내 맘에 언제라도 그런 발자국을 내어줘요 그렇게 편한 숨을 쉬듯이 언제든 내 곁에 쉬어가요 언제든 내 맘에 쉬어가요
Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,2023.07.14,댄스,"총건수
											0","Weight of the world on your shouldersI kiss your waist and ease your mindI must be favored to know yaI take my hands and trace your linesIt’s the way that we can rideIt’s the way that we can rideThink I met you in another lifeSo break me off another timeYou wrap around meand you give me lifeAnd that’s why night after nightI’ll be lovin’ you rightMonday Tuesday WednesdayThursday Friday Saturday SundayMonday Tuesday WednesdayThursday FridaySeven days a weekEvery hour every minute every secondYou know night after nightI’ll be lovin’ you rightSeven days a weekYou love when I jump right inAll of me I’m offeringShow you what devotion isDeeper than the ocean isWind it back I’ll take it slowLeave you with that afterglowShow you what devotion isDeeper than the ocean isIt’s the way that we can rideIt’s the way that we can rideThink I met you in another lifeSo break me off another timeYou wrap around meand you give me lifeAnd that’s why night after nightI’ll be lovin’ you rightMonday Tuesday WednesdayThursday Friday Saturday SundayMonday Tuesday WednesdayThursday FridaySeven days a weekEvery hour every minute every secondYou know night after nightI’ll be lovin’ you rightSeven days a weekMonday Tuesday WednesdayThursday Friday Saturday SundayMonday Tuesday WednesdayThursday FridaySeven days a weekEvery hour every minute every secondYou know night after nightI’ll be lovin’ you rightSeven days a weekTightly take controlTightly take his soul Take your phoneand put it in the camera roll Leave them clothes at the doorWhat you waiting for,better come and hit ya goals He jump in it both feetGoing to the sun-up,we ain’t getting no sleep Seven days a week,seven different sheets, seven different angles I can be your fantasy  Open up say ahhh Come here babylet me swallow your pride What you on I can match your vibe Hit me up and I’mma Cha Cha SlideYou make Mondays feel like weekends I make him never think about cheatin’Got you skipping work and meetings,let’s sleep in Seven days a weekMonday Tuesday WednesdayThursday Friday Saturday SundayMonday Tuesday WednesdayThursday FridaySeven days a weekEvery hour every minute every secondYou know night after nightI’ll be lovin’ you rightSeven days a weekMonday Tuesday WednesdayThursday Friday Saturday SundayMonday Tuesday WednesdayThursday FridaySeven days a weekEvery hour every minute every secondYou know night after nightI’ll be lovin’ you rightSeven days a week"
다시 만날 수 있을까,임영웅,IM HERO,2022.05.02,발라드,"총건수
											0",너를 위해 해 줄 것이 하나 없어서보낼 수밖에 없었고네가 없이 사는 법을 알지 못해서순간순간을 울었다후회로 가득한 한숨 자락이시린 바람처럼가슴 치는 날 그 언젠가우리 만날 수 있을까다시 만날 수 있을까그리 좋던 예전처럼 그때처럼되돌아갈 수 있을까다시 우리가 만나면무엇을 해야만 할까서로를 품에 안고서하염없이 눈물만 흘려볼까붙잡을 마음이야 없었겠냐마는그때 난 부끄러웠다떳떳하게 일어나 널 다시 찾아갈뜨거운 꿈만 꾸었다둘이 함께 했던 순간순간이시린 폭포처럼쏟아지는 날 그 언젠가우리 만날 수 있을까다시 만날 수 있을까그리 좋던 예전처럼 그때처럼되돌아갈 수 있을까다시 우리가 만나면무엇을 해야만 할까서로를 품에 안고서하염없이 눈물만 흘려볼까그리운 마음이 서럽게 흘러넘쳐너에게 닿을 때우리 만날 수 있을까다시 만날 수 있을까그리 좋던 예전처럼 그때처럼되돌아갈 수 있을까다시 우리가 만나면무엇을 해야만 할까서로를 품에 안고서하염없이 눈물만 흘려볼까
