title,artist,album,release_date,genre,likes,lyrics
Love wins all,아이유,The Winning,2024.01.24,발라드,"총건수
											0","Dearest, Darling, My universe날 데려가 줄래?나의 이 가난한 상상력으론떠올릴 수 없는 곳으로저기 멀리 from Earth to Mars꼭 같이 가줄래?그곳이 어디든, 오랜 외로움그 반대말을 찾아서 어떤 실수로 이토록 우리는 함께일까세상에게서 도망쳐 Run on나와 저 끝까지 가줘 My lover나쁜 결말일까 길 잃은 우리 둘 um부서지도록 나를 꼭 안아더 사랑히 내게 입 맞춰 LoverLove is all Love is allLove Love Love Love결국, 그럼에도,어째서 우리는서로일까세상에게서 도망쳐 Run on나와 저 끝까지 가줘 My lover나쁜 결말일까 길 잃은 우리 둘 um찬찬히 너를 두 눈에 담아한 번 더 편안히 웃어주렴유영하듯 떠오른그날 그 밤처럼,나와 함께 겁 없이저물어줄래? 산산히 나를 더 망쳐 Ruiner너와 슬퍼지고 싶어 My lover필연에게서 도망쳐 Run on나와 저 끝까지 가줘 My lover일부러 나란히 길 잃은 우리 두 사람부서지도록 나를 꼭 안아더 사랑히 내게 입 맞춰 LoverOur Love wins all Love wins allLove Love Love Love"
슬픈 초대장,순순희(지환),슬픈 초대장,2023.12.19,"발라드, 인디음악","총건수
											0",내 야윈 손위로 온 초대장 위에널 데려간다는 그와 네 이름오래전 헤어지던 날자꾸 내 눈앞에 스쳐혼자서도 난 서글픈데수화기 너머로 젖은 네 목소리그때 왜 날 보내줬냐고첨부터 널 사랑했다면마지막까지 붙잡아야 했다고그 많은 사연들 다 버려둔 채로날 떠난 너였잖아지금 그를 사랑한다면서왜 이제 와서 또 바보처럼 흔들려누굴 위해 돌아봐아픈 가슴 추억으로 달래며네 행복을 믿었는데차라리 날 다 지워버려넌 그를 택한 세상에 후회하지 않도록 남들처럼 나도 멀리서 나마축하하고 싶으니다 기억할 만큼 모질지 못한 너날 두 번 울리잖아되돌리긴 너무 늦었는데왜 이제 와서 또 바보처럼 흔들려누굴 위해 돌아봐아픈 가슴 추억으로 달래며네 행복을 믿었는데차라리 날 다 지워버려넌 그를 택한 세상에 후회하지 않도록남들처럼 나도 멀리서 나마축하하고 싶으니부디 가서 영원해 줘
Do or Die,임영웅,Do or Die,2023.10.09,댄스,"총건수
											0","함성이 번져 숨이 차올라이 밤의 주인공 쏟아진 Spotlight멈추지 마라 힘껏 외쳐봐우리 오늘 후회 없도록더 두려울 것이 없어 타오르는 너의 heart beat모두가 함께 미쳐 하늘로 높이 뛰어열정을 채워줄게 날 따라 함께하게Let’s Go, Go Baby나만 믿고 따라와 따라와너를 위해 난 노래할 거야심장소리 난리 나 난리 나Put your hands up in the airJust raise your hands미쳐 이 순간Tonight It's Do or DieTonight It's Do or Die세상을 뒤흔들어 봐  뛰어봐Move your body like It's Do or DieWoahWoahLike It's Do or DieWoahWoahLike It's Do or Die나사 하나 빠진 것처럼 막향기에 취해버린 것처럼 now오직 너만의 영웅이 되어모든 걱정을 다 막아줄게오늘 밤 우린 Party Time분위기를 전부 휘어잡아맘이 시키는 그대로 춤춰나만 믿고 따라와 따라와너를 위해 난 노래할 거야심장소리 난리 나 난리 나Put your hands up in the air[Hook]Just raise your hands미쳐 이 순간Tonight It's Do or DieTonight It's Do or Die세상을 뒤흔들어 봐  뛰어봐Move your body like It's Do or DieWoahWoahLike It's Do or DieWoahWoahLike It's Do or Die가슴 벅찬 이 순간 (Right Now)Let's turn upLet's get loud기억해 오늘 너와 나 (You and I)Let's get loudJust raise your hands미쳐 이 순간Tonight Let’s Do or DieTonight Let’s Do or Die세상을 뒤흔들어 봐  뛰어봐Move your body like It's do or dieWoahWoahLike It's Do or DieWoahWoah"
내가 S면 넌 나의 N이 되어줘,TWS (투어스),TWS 2nd Mini Album ‘SUMMER BEAT!’,2024.06.24,댄스,"총건수
											0","내가 S면 넌 나의 N이 되어줘어떤 순간에도 너를 찾을 수 있게반대가 끌리는 천만번째 이유를내일의 우리는 알지도 몰라오늘따라 왠지 말이 꼬여성을 빼고 부르는 건 아직 어색해 (지훈아..!)너와 나 우리 모여보니까같은 색 더듬이가 자라나창문 너머의 춤을 따라 추고 싶어좋아하는 걸 함께 좋아하고 싶어왼쪽으로 Slide 한번 Poppin'몸이 붕 뜨는 이 기분 Whoo!‘우리’라는 말에 자석이 있는 걸까내 맘이 자꾸 너에게 가려고 해내가 S면 넌 나의 N이 되어줘어떤 순간에도 너를 찾을 수 있게반대가 끌리는 천만번째 이유를내일의 우리는 알지도 몰라느낌이 와 Right now 10m 위에 너 있나?날 당겨 (Whoa- Whoa-)눈인사로 Say Hello나도 모르게 너의 앞에서손을 내밀어버린 거야둥그렇게 앉아서 서로를 바라볼 때눈에 비친 우리의 모습을 좋아해N과 S 우리는 캐스터네츠하나가 되는 이 기분 Whoo!‘우리’라는 말에 자석이 있는 걸까내 맘이 자꾸 너에게 가려고 해내가 S면 넌 나의 N이 되어줘어떤 순간에도 너를 찾을 수 있게반대가 끌리는 천만번째 이유를내일의 우리는 알지도 몰라너와 나 표현이 서툴러 티격태격하고토라지는 날이 온다해도 좋아맞아, 우린 언제나서로의 곁에 있잖아지금 이 순간도내가 S면 넌 나의 N이 되어줘이 말 한마디가 너무 어려웠지만너의 이름조차 내겐 특별하니까오직 너에게만 말할게널 마주 보고서           반대 반대 반대 반대반대 반대가 끌린 이유는어떤 순간에도 우린 하나이니까 그거면 충분해 난 있잖아 오늘부터내가 S면 넌 나의 N이 되어줘"
비의 랩소디,임재현,비의 랩소디,2023.12.03,발라드,"총건수
											0",이젠 눈물 그쳐 나를 봐요우는 그대 더 아름다워내게 이 모습조차 더 남지 않도록그냥 고개 돌려요그저 미안한 마음뿐이죠그댈 위해 해줄 게 없어모두 이해할게요 그댈 아끼는 맘그분들도 같을 거란 걸한참 동안을 비틀거렸죠그댈 사랑했던 그만큼떠나가요 아주 먼 곳으로그대 소식 내게 올 수 없을 그만큼다 잊어요 내겐 마지막이 될사람도 모두 다 버려두고 갈게요나를 위해 많이 애썼단 걸알고 있죠 난 감사해요허나 이룰 수 없는 건 어쩔 수 없죠내가 용기 낼게요 이젠죽는 날까지 사랑한대도가질 수 없는 그대인걸떠나가요 아주 먼 곳으로그대 소식 내게 올 수 없을 그만큼다 잊어요 내겐 마지막이 될사람도 모두 다 버려두고 갈게요떠나가요 아주 먼 곳으로그대 소식 내게 올 수 없을 그만큼혹시라도 내가 그리울 때면세상에 내가 없다고 믿어요
I AM,IVE (아이브),I've IVE,2023.04.10,댄스,"총건수
											0","다른 문을 열어 따라 갈 필요는 없어넌 너의 길로 난 나의 길로 음하루하루마다 색이 달라진 느낌밝게 빛이 나는 길을 찾아I’m on my way 넌 그냥 믿으면 돼I’m on my way 보이는 그대로야너는 누군가의 Dreams come true제일 좋은 어느 날의 데자뷰머물고픈 어딘가의 낯선 뷰I’ll be far awayThat’s myLife is 아름다운 갤럭시Be a writer, 장르로는 판타지내일 내게 열리는 건 big big 스테이지So that is who I amLook at meLook at meLook at menow어제랑 또 다른 짜릿한 나두려운 모든 게 설레이게I’m in sky high, OMG사소한 건 다 아득해져 와Look at me nowLook at me nowI’m on fireI’m on my way 넌 그냥 믿으면 돼I’m on my way 보이는 그대로야너는 누군가의 Dreams come true제일 좋은 어느 날의 데자뷰머물고픈 어딘가의 낯선 뷰I’ll be far awayThat’s myLife is 아름다운 갤럭시Be a writer, 장르로는 판타지내일 내게 열리는 건 big big 스테이지So that is who I am어느 깊은 밤 길을 잃어도차라리 날아올라 그럼 네가지나가는 대로 길이거든1, 2, 31, 2, 31, 2, 3Fly upI hope you’d be someone’sdreams come true제일 좋은 어느 날의 데자뷰머물고픈 어딘가의 낯선 뷰I’ll be far awayThat’s myLife is 아름다운 갤럭시Be a writer, 장르로는 판타지내일 내게 열리는 건 big big 스테이지So that is who I am"
이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,2020.04.03,성인가요/트로트,"총건수
											0",무얼 믿은 걸까 부족했던 내게서나조차 못 믿던 내게 여태 머문 사람무얼 봤던 걸까 가진 것도 없던 내게무작정 내 손을 잡아 날 이끈 사람최고였어그대 눈 속에 비친 내 모습이제는 내게서 그댈 비춰줄게궂은 비가 오면세상 가장 큰 그대 우산이 될게그댄 편히 걸어가요걷다가 지치면내가 그대를 안고 어디든 갈게이제 나만 믿어요나만 두고 가던 나만 스쳐 간 행운이 모여그대가 되어서 내게 와준 거야궂은 비가 오면세상 가장 큰 그대 우산이 될게그댄 편히 걸어가요걷다가 지치면내가 그대를 안고 어디든 갈게이제 나만 믿어요나의 마지막 주인공이 되어다신 누구 앞에서도 그대는 고개 숙이지 마요내가 보지 못했던 홀로 고단했던 시간고맙고 미안해요 사랑해요이 세상은우리를 두고 오랜 장난을 했고우린 속지 않은 거야이제 울지 마요좋을 땐 밤새도록 맘껏 웃어요전부 그대 꺼니까그대는 걱정 말아요이제 나만 믿어요
Polaroid,임영웅,Polaroid,2022.11.15,록/메탈,"총건수
											0","별들이 짙던 밤 하늘에 약속한 고백아직도 맘에당연하듯 남아 있어요어제 일같이 선명하네요가슴 저리는 게 사랑이 아니라그 누가 뭐라던가, 오심장이 뛰는데 아프게 뛰는데이게 사랑인 거야운명 같은 밤 너를 만나영원하자고 외쳤던 그 밤네가 날 잊어도난 널 꺼내 볼 테니까 언제나내 맘속 사진첩 한 켠엔 그대가 있지참 행복했지 때론 아픈 날이 있어도버릴 수 없는 추억이 됐지가슴 저리는 게 사랑이 아니라그 누가 뭐라던가, 오심장이 뛰는데 아프게 뛰는데이게 사랑인 거야운명 같은 밤 너를 만나영원하자고 외쳤던 그 밤네가 날 잊어도난 널 꺼내 볼 테니까 언제나우~ 예~우~네가 날 잊어도난 널 꺼내 볼 테니까 언제나한 장씩 널 기억하며 보낼게우리 모든 순간 가슴 떨리던 날모든 날이 따스하게 감싸준널 사랑했다운명 같은 밤 너를 만나셀 수 없이 많은 날 함께 했지사랑했어요 아주 많이사진첩 속의 그대여영원히 기억할게 시간이 지나도언제나"
무지개,임영웅,IM HERO,2022.05.02,록/메탈,"총건수
											0",오늘 하루 어땠었나요많이 힘들었나요쉬지 않고 달려왔던 길에서나와 함께 쉬어가요그냥 아무런 준비도 없이떠나볼까요평범해도 좋으니까우리 함께 가요Du Du Du Du Du행복 가득 담은 배낭 하나 메고서답답했던 일상과 도심을 벗어나Du Du Du DuDu Du Du Du떠나볼래요힘껏 살다 보니 무뎌져헝클어진 머리도괜찮다며 그댈 안아줄 사람바로 그대 곁에 있죠까만 선글라스 하나 챙겨서떠나볼까요평범해도 좋으니까우리 함께 가요Du Du Du Du Du행복 가득 담은 배낭 하나 메고서답답했던 일상과 도심을 벗어나Du Du Du DuDu Du Du Du떠나볼래요우리 함께 가요Du Du Du Du Du행복 가득 담은 배낭 하나 메고서답답했던 일상과 도심을 벗어나Du Du Du DuDu Du Du Du떠나볼래요우리 함께 가요Du Du Du Du DuDu Du Du DuDu Du Du Du떠나볼래요Du Du Du DuDu Du Du Du떠나볼래요Du Du Du DuDu Du Du Du지금 떠나요
그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),2023.08.15,발라드,"총건수
											0",날 사랑해서 떠난다며눈물짓던 그대의 말을 믿을 수 없죠하지만 나의 전부였던그대가 힘들어하기에 잡을 수 없었죠온통 너와의 기억뿐인 나를 위해서였다면조금씩 무너져가는 날 날 위한다면이대로 내 곁에 있어야 해요나를 떠나면 안 돼요세상의 모든 걸 잃어도 괜찮아요그대만 있다면 그대만 있다면함께 웃던 시간들을함께했던 약속들을지금 또 영원히 기억하겠어요다시 한번 생각해요무엇이 날 위한 건지 그대는 알고 있어요영원히 내 곁을 지켜주세요나를 떠나지 말아요세상의 모든 걸 잃어도 난 좋아요그대만 있다면 그대만 있다면온통 그대의 생각뿐인 나를 위해서였다면초라하게 쓰러지는 날날 위한다면 이대로 내 곁에 있어야 해요나를 떠나면 안 돼요세상의 모든 걸 잃어도 괜찮아요그대만 있다면 그대만 있다면영원히 내 곁을 지켜주세요나를 떠나지 말아요세상의 모든 걸 잃어도 난 좋아요그대만 있다면 그대만 있다면
ETA,NewJeans,NewJeans 2nd EP 'Get Up',2023.07.21,댄스,"총건수
											0","낭비하지 마 네 시간은 은행서둘러서 정리해 걔는 real bad받아주면 안돼No you better trust me답답해서 그래저번에도 봤지만 너 없을 때걘 여기저기에 눈빛을 뿌리네아주 눈부시게Honestly 우리 사이에He’s been totally lying yeah내 생일 파티에 너만 못 온 그날혜진이가 엄청 혼났던 그날지원이가 여친이랑 헤어진 그날걔는 언제나 네가 없이 그날너무 멋있는 옷을 입고 그날Heard him sayWe can go wherever you likeBaby say the words and I’m downAll I need is you on my sideWe can go whenever you likeNow where are you?MmhmmWhat’s your ETA, what’s your ETAMmhmmWhat’s your ETA, what’s your ETAMmhmmWhat’s your ETA, what’s your ETAI’ll be there right now, lose that boy on her arm아파 맘이 네가 걔 못 잊을 때내 말 믿어 you deserve better than that내가 도와줄게걔는 그냥 playin’Boys be always lying yeah내 생일 파티에 너만 못 온 그날혜진이가 엄청 혼났던 그날지원이가 여친이랑 헤어진 그날걔는 언제나 네가 없이 그날너무 멋있는 옷을 입고 그날Heard him sayWe can go wherever you likeBaby say the words and I’m downAll I need is you on my sideWe can go wherever you likeNow where are you?MmhmmWhat’s your ETA, what’s your ETAMmhmmWhat’s your ETA, what’s your ETAMmhmmWhat’s your ETA, what’s your ETAI’ll be there right now, lose that boy on her armNeed a boy on my armNeed a boy on my armWant a boy on my armNeed a boy on my arm"
London Boy,임영웅,Polaroid,2022.11.15,록/메탈,"총건수
											0","꿈에 그리던 그곳 난 여기 있어저 푸른 바다 위로 널 닮은 하늘I’m in London oh,I’m in London, yeah드넓은 공원 안에 널 담은 향기가는 모든 곳마다 난 네가 보여I’m in London,yeah, I’m in London, oh나지막한 소리가 들려와수많은 별들 사이 너에게Baby baby baby my baby세상 누구보다 널 사랑해모든 힘 다해 너를 불러Hold me tight baby,you’re my everything널 만나고 난 변했어세상 누구보다 널 사랑해모든 힘 다해 너를 불러I’m London, London BoyOh oh no no noLondon Boy yeah셰익스피어, 처칠, 비틀즈, 숀 코네리해리포터, 데이비드 베컴 모든 게 있어Baby You are my London Girl행복은 너와 함께 즐기는 거야내 모든 걸 다 줘도 아깝지 않아너는 내게, Oh그런 사람, Oh나지막한 소리가 들려와수많은 별들 사이 너에게Baby baby baby my baby세상 누구보다 널 사랑해모든 힘 다해 너를 불러Hold me tight baby,you’re my everything널 만나고 난 변했어세상 누구보다 널 사랑해모든 힘 다해 너를 불러I’m London, London Boy널 만나고 내가 변했다Oh, I’m London BoyBaby baby baby my baby세상 누구보다 널 사랑해모든 힘 다해 너를 불러Hold me tight baby,you’re my everything널 만나고 난 변했어세상 누구보다 널 사랑해모든 힘 다해 너를 불러I’m London, London BoyLa la la la la la la laLa la la la la la la laLa la la la la la la laI’m London, London BoyLa la la la la la la laLa la la la la la la laLa la la la la la la laLondon BoyLondon BoyLondon Boy"
Attention,NewJeans,NewJeans 1st EP 'New Jeans',2022.08.01,댄스,"총건수
											0","You and me내 맘이 보이지 한참을 쳐다봐가까이 다가가You seeYou see, ey ey ey eyOne, two, three용기가 생겼지이미 아는 네 눈치고개를 돌려 천천히여기You see여기 보이니Looking for attention 너야겠어확실하게 나로 만들겠어Stop, eyyyDrop the questionDrop the, drop the questionWant attentionWanna want attentionYou give me butterflies you know내 맘은 온통 paradise꿈에서 깨워주지 마You got me looking for attentionYou got me looking for attention가끔은 정말헷갈리지만분명한 건Got me looking for attention널 우연히 마주친 척할래못 본 척 지나갈래You’re so fineGotta gotta get to know ya나와 나와 걸어가 줘지금 돌아서면I need ya, need ya, need yaTo look at me backHey 다 들켰었나널 보면 하트가 튀어나와난 사탕을 찾는 baby (baby)내 맘은 설레이지Eyyy, drop the questionDrop the, drop the questionWant attentionWanna want attentionYou give me butterflies you know내 맘은 온통 paradise꿈에서 깨워주지 마You got me looking for attentionYou got me looking for attention가끔은 정말헷갈리지만분명한 건Got me looking for attentionYou got me looking for attentionYou got me looking for attention가끔은 정말헷갈리지만분명한 건Got me looking for attentionA T T E N T I onAttention is what I wantA T T E N T I onAttention is what I wantA T T E N T I onAttention is what I wantA T T E N T I onYou got me looking for attention"
WAY 4 LUV,PLAVE,ASTERUM : 134-1,2024.02.26,록/메탈,"총건수
											0","Way 4 LuvWay 4 your LuvWay 4 LuvWay 4 your Luv거짓말이라도 믿을게영화 같은 스토리의 끝에It’s like a movie우린 참 어렸었지저 별들을 닮기엔모든 게 서툴렀지 Oh yeah뜨거웠던 숨은 꿈이 되어내 심장에 불을 지폈어 날 멈출 수 없도록 더욱떨어져가는 폭포처럼 내 몸을 던졌어그 속에 피어난 Flo(wer)어느새 노을이 지고 있어 그곳으로Moonlight끝이 없는 MidnightSunshine반복되는 HighlightWoo woo woo woo woo woo woo(Woo woo woo woo woo woo woo)Woo woo woo woo woo woo woo(Woo woo woo woo woo woo woo)Way 4 LuvWay 4 your LuvWay 4 LuvWay 4 your Luv거짓말이라도 믿을게영화 같은 스토리의 끝에Way 4 Luvuh Way 4 your Luv사계절이 되어줘 My Venus거짓말이라도 믿을래황홀한 이 여정의 끝에쏟아지는 유성 아래형 형색의 Rainbow지나치게 아름다워A to T, I’m driving nowThere’s no rush hourLet’s go Eiffel TowerImagine we smile at the same timeMoonlight끝이 없는 MidnightSunshine반복되는 HighlightWoo woo woo woo woo woo woo(Woo woo woo woo woo woo woo)Woo woo woo woo woo woo woo(Woo woo woo woo woo woo woo)Way 4 LuvWay 4 your LuvWay 4 LuvWay 4 your Luv거짓말이라도 믿을게영화 같은 스토리의 끝에같은 시선 속에 맞닿은 우리야너와 날 닮은 이 순간끝나지 않을 여행이라It’s a beautiful lifeWay 4 Luvoh Way 4 Luv거짓말이라도 믿을게영화 같은 스토리의 끝에Way 4 Luvuh Way 4 your Luv사계절이 되어줘 My Venus거짓말이라도 믿을래황홀한 이 여정의 끝에Woo woo woowoo woo wooWoo woo woo woowoo woo wooWoo woo woo woo"
인생찬가,임영웅,IM HERO,2022.05.02,발라드,"총건수
											0",꿈처럼 지나간 시간나는 무얼 찾고 싶었나지도도 없이 걸어온 삶을후회하진 않으리떠난 어제는 떠날 오늘로남겨지기도 하지나의 친구여 나의 형제여내 이름 불러주오미안하다 나의 인생아앞만 보며 살아왔구나찬란한 순간이여 영원하라내일은 처음 가는 길언제나처럼 또 두려워버들강아지 활짝 웃는 날후회하지 않으리비가 내리면 노래하리눈이 내려도 좋아나의 친구여 나의 형제여내 이름 불러 주오미안하다 나의 인생아앞만 보며 살아왔구나찬란한 순간이여 영원하라영원한 순간이여 찬란하라
Super Shy,NewJeans,NewJeans 2nd EP 'Get Up',2023.07.07,댄스,"총건수
											0","I’m super shy, super shyBut wait a minute while IMake you mine, make you mine떨리는 지금도 You’re on my mind All the timeI wanna tell you but I’mSuper shy, super shy I’m super shy, super shyBut wait a minute while IMake you mine, make you mine떨리는 지금도 You’re on my mind All the timeI wanna tell you but I’mSuper shy, super shy And I wanna go out with you Where you wanna go? (Huh?) Find a lil spotJust sit and talkLooking prettyFollow me우리 둘이 나란히 보이지? (봐) 내 눈이 (heh) 갑자기 빛나지 When you say I’m your dream You don’t even know my name Do ya?You don’t even know my name Do ya-a?누구보다도I’m super shy, super shyBut wait a minute while IMake you mine, make you mine떨리는 지금도 You’re on my mind All the timeI wanna tell you but I’mSuper shy, super shyI’m super shy, super shyBut wait a minute while IMake you mine, make you mine떨리는 지금도 You’re on my mind All the timeI wanna tell you but I’mSuper shy, super shy 나 원래 말도 잘하고 그런데 왜 이런지 I don’t like thatSomething odd about youYeah you’re special and you know itYou’re the top babe I’m super shy, super shyBut wait a minute while IMake you mine, make you mine떨리는 지금도 You’re on my mind All the timeI wanna tell you but I’mSuper shy, super shyI’m super shy, super shyBut wait a minute while IMake you mine, make you mine떨리는 지금도 You’re on my mind All the timeI wanna tell you but I’mSuper shy, super shy You don’t even know my name Do ya?You don’t even know my name Do ya-a?누구보다도You don’t even know my name Do ya?You don’t even know my name Do ya-a?"
오래된 노래,허각,오래된 노래,2024.06.16,발라드,"총건수
											0",오래전에 함께 듣던 노래가발걸음을 다시 멈춰 서게 해이 거리에서 너를 느낄 수 있어널 이곳에서 꼭 다시 만날 것 같아너일까 봐 한 번 더 바라보고너일까 봐 자꾸 돌아보게 돼어디선가 같은 노래를 듣고날 생각하며 너 역시 멈춰있을까오래전에 함께 듣던 노래가거리에서 내게 우연히 들려온 것처럼살아가다 한 번쯤 우연히 만날 것 같아사랑했던 그 모습 그대로내 사랑이 그대로인 것처럼발걸음이 여길 찾는 것처럼꼭 만날 거야 지금 이 노래처럼날 사랑하는 네 맘도 같을 테니까오래전에 함께 듣던 노래가거리에서 내게 우연히 들려온 것처럼살아가다 한 번쯤 우연히 만날 것 같아사랑했던 그 모습 그대로운명처럼 아니면 우연처럼우리가 다시 예전처럼 만날 수 있다면너에게 나 해주고 싶은 말이 하나 있어널 다시는 놓치지 않을게오래전에 함께 듣던 노래가거리에서 내게 우연히 들려온 것처럼살아가다 한 번쯤 우연히 만날 것 같아사랑했던 그 모습 그대로살아가다 한 번쯤 우연히 만날 것 같아사랑했던 그 모습 그대로
헤어지자 말해요,박재정,1집 Alone,2023.04.20,발라드,"총건수
											0",헤어지자고 말하려 오늘너에게 가다가 우리 추억 생각해 봤어처음 본 네 얼굴마주친 눈동자가까스로 본 너의 그 미소들손을 잡고 늘 걷던 거리에첫눈을 보다가 문득 고백했던 그 순간가보고 싶었던 식당난생처음 준비한 선물고맙다는 너의 그 눈물들이바뀔까 봐 두려워그대 먼저 헤어지자 말해요나는 사실 그대에게 좋은 사람이 아녜요그대 이제 날 떠난다 말해요잠시라도 이 행복을 느껴서 고마웠다고시간이 지나고 나면 나는어쩔 수 없을 걸 문득 너의 사진 보겠지새로 사귄 친구 함께웃음 띤 네 얼굴 보면말할 수 없을 묘한 감정들이힘들단 걸 알지만그대 먼저 헤어지자 말해요나는 사실 그대에게 좋은 사람이 아녜요그대 이제 날 떠난다 말해요잠시라도 이 행복을 느껴서 고마웠다고한 번은 널 볼 수 있을까이기적인 거 나도 잘 알아그땐 그럴 수밖에 없던어린 내게 한 번만 더 기회를 주길그댈 정말 사랑했다 말해요나는 사실 그대에게좋은 사람이 되고 싶었어영영 다신 못 본다 해도그댈 위한 이 노래가당신을 영원히 사랑할 테니
밤양갱,비비 (BIBI),밤양갱,2024.02.13,R&B/Soul,"총건수
											0",떠나는 길에 니가 내게 말했지‘너는 바라는 게 너무나 많아잠깐이라도 널 안 바라보면머리에 불이 나버린다니까’나는 흐르려는 눈물을 참고하려던 얘길 어렵게 누르고‘그래 미안해’라는 한 마디로너랑 나눈 날들 마무리했었지달디달고 달디달고 달디단 밤양갱 밤양갱내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야떠나는 길에 니가 내게 말했지‘너는 바라는 게 너무나 많아’아냐 내가 늘 바란 건 하나야한 개뿐이야 달디단 밤양갱달디달고 달디달고 달디단 밤양갱 밤양갱내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야상다리가 부러지고둘이서 먹다 하나가 쓰러져버려도나라는 사람을 몰랐던 넌떠나가다가 돌아서서 말했지‘너는 바라는 게 너무나 많아’아냐 내가 늘 바란 건 하나야한 개뿐이야 달디단 밤양갱
To. X,태연 (TAEYEON),To. X - The 5th Mini Album,2023.11.27,R&B/Soul,"총건수
											0","처음 본 널 기억해We skipped the small talk바로 다음 단계였지 뭐단점이라곤 없는 게 단점이라던그 허세도 마냥 좋았어하지만 내 일기가재미없어진 이유내가 없어진 나의매일들은 허전해좀 이상해 왜 둘 사이에너만 너만 보이는 걸까난 까다롭고 힘든 아이라그런 피곤한 생각만 한대오늘 나눈 문자 속에새로 산 티셔츠그 얘기뿐이야이제야 난 알 것 같아Gonna block you불을 꺼 To. X그 좋아했던 립스틱싫단 말에 버린널 좋아했던 만큼다 맞추려 했어‘나 아님 누가그런 세상 안아주겠어’그 말이 그땐 그리달콤했던 거야 Oh no새벽의 긴 통화도이젠 피곤해졌어Every day, every night나로 채우고 싶어좀 이상해 왜 둘 사이에너만 너만 보이는 걸까난 까다롭고 힘든 아이라그런 피곤한 생각만 한대오늘 나눈 문자 속에새로 산 티셔츠그 얘기뿐이야이제야 난 알 것 같아Gonna block you불을 꺼 To. XGonna block you불을 꺼 To. XSay ByeGonna block you불을 꺼 To. X깜빡거리는흔들거리는 LightGonna block you불을 꺼 To. X좀 이상해 왜 둘 사이에너만 너만 보이는 걸까(너만 보일까)난 까다롭고 힘든 아이라그런 피곤한 생각만 한대오늘 나눈 문자 속에(이제 불을 꺼)새로 산 티셔츠그 얘기뿐이야이제야 난 알 것 같아Gonna block you불을 꺼 To. XGonna block you불을 꺼 To. X"
